client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0001_41,0,,414,test,0.0,4.1271343
f0007_14,0,,376,test,0.0,4.1271343
f0018_13,0,,384,test,0.05128205128205128,4.1271343
f0103_28,0,,357,test,0.0,4.1271343
f0140_09,0,,347,test,0.02857142857142857,4.1271343
f0143_00,0,,396,test,0.025,4.1271343
f0144_05,0,,372,test,0.0,4.1271343
f0176_30,0,,109,test,0.0,4.1271343
f0182_29,0,,242,test,0.08,4.1271343
f0197_34,0,,417,test,0.023809523809523808,4.1271343
f0206_38,0,,302,test,0.06451612903225806,4.1271343
f0208_05,0,,414,test,0.0,4.1271343
f0235_17,0,,311,test,0.03125,4.1271343
f0250_37,0,,250,test,0.04,4.1271343
f0252_30,0,,404,test,0.0,4.1271343
f0253_40,0,,361,test,0.05405405405405406,4.1271343
f0256_08,0,,423,test,0.0,4.1271343
f0320_41,0,,421,test,0.023255813953488372,4.1271343
f0364_10,0,,326,test,0.0,4.1271343
f0390_33,0,,361,test,0.0,4.1271343
f0401_11,0,,408,test,0.024390243902439025,4.1271343
f0430_02,0,,351,test,0.0,4.1271343
f0451_44,0,,420,test,0.023809523809523808,4.1271343
f0474_10,0,,231,test,0.0,4.1271343
f0499_10,0,,107,test,0.0,4.1271343
f0561_12,0,,345,test,0.02857142857142857,4.1271343
f0592_11,0,,236,test,0.041666666666666664,4.1271343
f0603_11,0,,326,test,0.030303030303030304,4.1271343
f0612_11,0,,331,test,0.029411764705882353,4.1271343
f0618_44,0,,272,test,0.0,4.1271343
f0623_37,0,,318,test,0.09375,4.1271343
f0649_22,0,,299,test,0.06666666666666667,4.1271343
f0653_02,0,,346,test,0.08571428571428572,4.1271343
f0662_29,0,,313,test,0.03125,4.1271343
f0665_47,0,,391,test,0.0,4.1271343
f0671_18,0,,353,test,0.05555555555555555,4.1271343
f0695_31,0,,368,test,0.05405405405405406,4.1271343
f0735_17,0,,320,test,0.09375,4.1271343
f0752_25,0,,118,test,0.0,4.1271343
f0790_06,0,,116,test,0.0,4.1271343
f0816_18,0,,325,test,0.030303030303030304,4.1271343
f0818_03,0,,356,test,0.0,4.1271343
f0842_22,0,,356,test,0.0,4.1271343
f0844_42,0,,30,test,0.0,4.1271343
f0847_06,0,,241,test,0.0,4.1271343
f0851_41,0,,228,test,0.043478260869565216,4.1271343
f0873_42,0,,379,test,0.0,4.1271343
f0901_39,0,,364,test,0.05405405405405406,4.1271343
f0907_00,0,,280,test,0.0,4.1271343
f0919_47,0,,394,test,0.025,4.1271343
f0920_11,0,,269,test,0.0,4.1271343
f0936_34,0,,298,test,0.0,4.1271343
f0991_47,0,,8,test,0.0,4.1271343
f0994_46,0,,37,test,0.0,4.1271343
f0995_43,0,,336,test,0.058823529411764705,4.1271343
f1003_41,0,,218,test,0.09090909090909091,4.1271343
f1011_35,0,,152,test,0.0625,4.1271343
f1021_16,0,,277,test,0.03571428571428571,4.1271343
f1027_05,0,,303,test,0.06451612903225806,4.1271343
f1038_35,0,,24,test,0.0,4.1271343
f1039_40,0,,330,test,0.09090909090909091,4.1271343
f1042_08,0,,325,test,0.06060606060606061,4.1271343
f1145_39,0,,248,test,0.04,4.1271343
f1175_48,0,,301,test,0.06451612903225806,4.1271343
f1176_40,0,,326,test,0.030303030303030304,4.1271343
f1203_10,0,,287,test,0.06896551724137931,4.1271343
f1223_27,0,,185,test,0.10526315789473684,4.1271343
f1250_24,0,,233,test,0.041666666666666664,4.1271343
f1273_29,0,,315,test,0.03125,4.1271343
f1275_19,0,,41,test,0.0,4.1271343
f1290_49,0,,261,test,0.037037037037037035,4.1271343
f1293_37,0,,278,test,0.03571428571428571,4.1271343
f1303_05,0,,279,test,0.0,4.1271343
f1316_31,0,,187,test,0.05263157894736842,4.1271343
f1336_30,0,,262,test,0.0,4.1271343
f1349_00,0,,258,test,0.0,4.1271343
f1397_09,0,,330,test,0.030303030303030304,4.1271343
f1430_10,0,,281,test,0.034482758620689655,4.1271343
f1463_23,0,,95,test,0.0,4.1271343
f1466_48,0,,297,test,0.06666666666666667,4.1271343
f1481_35,0,,352,test,0.0,4.1271343
f1494_41,0,,357,test,0.0,4.1271343
f1503_02,0,,129,test,0.23076923076923078,4.1271343
f1509_45,0,,123,test,0.07692307692307693,4.1271343
f1538_15,0,,146,test,0.06666666666666667,4.1271343
f1568_21,0,,167,test,0.11764705882352941,4.1271343
f1582_49,0,,169,test,0.0,4.1271343
f1584_28,0,,169,test,0.058823529411764705,4.1271343
f1615_41,0,,114,test,0.3333333333333333,4.1271343
f1696_08,0,,125,test,0.3076923076923077,4.1271343
f1706_39,0,,42,test,0.0,4.1271343
f1711_35,0,,140,test,0.07142857142857142,4.1271343
f1713_02,0,,142,test,0.0,4.1271343
f1719_12,0,,163,test,0.058823529411764705,4.1271343
f1726_01,0,,40,test,0.0,4.1271343
f1729_47,0,,54,test,0.0,4.1271343
f1745_36,0,,139,test,0.14285714285714285,4.1271343
f1746_28,0,,115,test,0.16666666666666666,4.1271343
f1767_34,0,,51,test,0.16666666666666666,4.1271343
f1790_11,0,,143,test,0.2,4.1271343
f1802_35,0,,109,test,0.18181818181818182,4.1271343
f1806_29,0,,177,test,0.0,4.1271343
f1829_17,0,,128,test,0.0,4.1271343
f1845_02,0,,13,test,0.0,4.1271343
f1859_39,0,,108,test,0.09090909090909091,4.1271343
f1883_03,0,,163,test,0.058823529411764705,4.1271343
f1891_18,0,,122,test,0.07692307692307693,4.1271343
f1903_48,0,,145,test,0.0,4.1271343
f1922_38,0,,153,test,0.0,4.1271343
f2032_22,0,,110,test,0.0,4.1271343
f2041_22,0,,158,test,0.0625,4.1271343
f2053_20,0,,164,test,0.058823529411764705,4.1271343
f2055_31,0,,159,test,0.125,4.1271343
f2057_23,0,,150,test,0.2,4.1271343
f2079_27,0,,153,test,0.0625,4.1271343
f2084_07,0,,160,test,0.0625,4.1271343
f2091_28,0,,170,test,0.23529411764705882,4.1271343
f2104_50,0,,157,test,0.125,4.1271343
f2126_57,0,,158,test,0.0625,4.1271343
f2194_63,0,,172,test,0.05555555555555555,4.1271343
f2200_55,0,,168,test,0.058823529411764705,4.1271343
f2215_69,0,,141,test,0.0,4.1271343
f2237_82,0,,179,test,0.0,4.1271343
f2240_80,0,,171,test,0.05555555555555555,4.1271343
f2256_71,0,,162,test,0.058823529411764705,4.1271343
f2266_81,0,,57,test,0.0,4.1271343
f2268_88,0,,155,test,0.125,4.1271343
f2306_63,0,,164,test,0.17647058823529413,4.1271343
f2320_75,0,,171,test,0.1111111111111111,4.1271343
f2322_80,0,,177,test,0.1111111111111111,4.1271343
f2346_88,0,,169,test,0.0,4.1271343
f2351_74,0,,178,test,0.05555555555555555,4.1271343
f2357_70,0,,143,test,0.06666666666666667,4.1271343
f2391_85,0,,174,test,0.2222222222222222,4.1271343
f2419_83,0,,177,test,0.05555555555555555,4.1271343
f2447_93,0,,168,test,0.0,4.1271343
f2452_69,0,,160,test,0.0625,4.1271343
f2476_67,0,,179,test,0.05555555555555555,4.1271343
f2481_58,0,,176,test,0.05555555555555555,4.1271343
f2504_69,0,,91,test,0.1,4.1271343
f2513_56,0,,173,test,0.05555555555555555,4.1271343
f2522_61,0,,175,test,0.1111111111111111,4.1271343
f2539_96,0,,160,test,0.0,4.1271343
f3138_46,0,,47,test,0.0,4.1271343
f3141_36,0,,176,test,0.05555555555555555,4.1271343
f3150_21,0,,181,test,0.10526315789473684,4.1271343
f3201_07,0,,173,test,0.05555555555555555,4.1271343
f3210_22,0,,183,test,0.05263157894736842,4.1271343
f3254_32,0,,115,test,0.0,4.1271343
f3269_06,0,,148,test,0.06666666666666667,4.1271343
f3272_48,0,,163,test,0.11764705882352941,4.1271343
f3299_12,0,,181,test,0.05263157894736842,4.1271343
f3315_23,0,,26,test,0.0,4.1271343
f3322_40,0,,183,test,0.15789473684210525,4.1271343
f3323_10,0,,153,test,0.125,4.1271343
f3343_18,0,,179,test,0.1111111111111111,4.1271343
f3359_42,0,,172,test,0.05555555555555555,4.1271343
f3383_24,0,,180,test,0.0,4.1271343
f3390_07,0,,182,test,0.15789473684210525,4.1271343
f3413_34,0,,167,test,0.11764705882352941,4.1271343
f3456_33,0,,14,test,0.0,4.1271343
f3471_02,0,,170,test,0.17647058823529413,4.1271343
f3475_09,0,,179,test,0.05555555555555555,4.1271343
f3479_08,0,,166,test,0.11764705882352941,4.1271343
f3502_45,0,,183,test,0.10526315789473684,4.1271343
f3516_45,0,,176,test,0.05555555555555555,4.1271343
f3520_45,0,,183,test,0.10526315789473684,4.1271343
f3555_14,0,,180,test,0.0,4.1271343
f3564_08,0,,176,test,0.05555555555555555,4.1271343
f3572_03,0,,152,test,0.0625,4.1271343
f3574_30,0,,150,test,0.06666666666666667,4.1271343
f3635_09,0,,155,test,0.0625,4.1271343
f3639_43,0,,157,test,0.125,4.1271343
f3649_28,0,,134,test,0.21428571428571427,4.1271343
f3655_18,0,,170,test,0.17647058823529413,4.1271343
