client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
f1509_45,1,,123,train,26414840,26414840,1452331650
f0235_17,1,,311,train,26414840,26414840,3564814050
f0662_29,1,,313,train,26414840,26414840,3696844200
f2057_23,1,,150,train,26414840,26414840,1716391950
f3635_09,1,,155,train,26414840,26414840,1716391950
f2419_83,1,,177,train,26414840,26414840,1980452250
f3479_08,1,,166,train,26414840,26414840,1848422100
f2256_71,1,,162,train,26414840,26414840,1848422100
f1336_30,1,,262,train,26414840,26414840,3036693450
f0364_10,1,,326,train,26414840,26414840,3828874350
f0176_30,1,,109,train,26414840,26414840,1188271350
f0143_00,1,,396,train,26414840,26414840,4621055250
f2266_81,1,,57,train,26414840,26414840,660150750
f3471_02,1,,170,train,26414840,26414840,1980452250
f3574_30,1,,150,train,26414840,26414840,1716391950
f3787_15,1,,172,train,26414840,26414840,1980452250
f2240_80,1,,171,train,26414840,26414840,1980452250
f1039_40,1,,330,train,26414840,26414840,3828874350
f0847_06,1,,241,train,26414840,26414840,2772633150
f2522_61,1,,175,train,26414840,26414840,1980452250
f1011_35,1,,152,train,26414840,26414840,1716391950
f3649_28,1,,134,train,26414840,26414840,1584361800
f2452_69,1,,160,train,26414840,26414840,1848422100
f1696_08,1,,125,train,26414840,26414840,1452331650
f1175_48,1,,301,train,26414840,26414840,3564814050
f1003_41,1,,218,train,26414840,26414840,2508572850
f2041_22,1,,158,train,26414840,26414840,1848422100
f3520_45,1,,183,train,26414840,26414840,2112482400
f3721_04,1,,179,train,26414840,26414840,2112482400
f0851_41,1,,228,train,26414840,26414840,2640603000
f0451_44,1,,420,train,26414840,26414840,4885115550
f3343_18,1,,179,train,26414840,26414840,2112482400
f1223_27,1,,185,train,26414840,26414840,2112482400
f0735_17,1,,320,train,26414840,26414840,3696844200
f0140_09,1,,347,train,26414840,26414840,4092934650
f1481_35,1,,352,train,26414840,26414840,4092934650
f3742_12,1,,151,train,26414840,26414840,1716391950
f1891_18,1,,122,train,26414840,26414840,1320301500
f3456_33,1,,14,train,26414840,26414840,132030150
f0592_11,1,,236,train,26414840,26414840,2772633150
f2504_69,1,,91,train,26414840,26414840,1056241200
f3138_46,1,,47,train,26414840,26414840,528120600
f1293_37,1,,278,train,26414840,26414840,3300753750
f0182_29,1,,242,train,26414840,26414840,2772633150
f1042_08,1,,325,train,26414840,26414840,3828874350
f2346_88,1,,169,train,26414840,26414840,1980452250
f2237_82,1,,179,train,26414840,26414840,2112482400
f1806_29,1,,177,train,26414840,26414840,1980452250
f2126_57,1,,158,train,26414840,26414840,1848422100
f1713_02,1,,142,train,26414840,26414840,1584361800
f3915_05,1,,169,train,26414840,26414840,1980452250
f0499_10,1,,107,train,26414840,26414840,1188271350
